,Brand,Product Name,Ratings,Number of ratings,Price,Delivery day,Availability,Return,Color,Material
0,Kadence,Ukulele,4.2 out of 5,270 ratings,-,"Saturday, Dec 18",In stock.,7 Days Replacement,Black,Wood
1,VAULT,-,4.1 out of 5,802 ratings,-,"Sunday, Dec 19",In stock.,7 Days Replacement,Black,-
2,Martin Smith,Ukulele,3.7 out of 5,"2,870 ratings",-,"Sunday, Dec 19",In stock.,7 Days Replacement,Black,-
3,Kadence,-,4.3 out of 5,"1,478 ratings",-,"Saturday, Dec 18",In stock.,7 Days Replacement,Mahagony Wood,Mahogany
4,Kadence,-,4.3 out of 5,"3,914 ratings",-,"Saturday, Dec 18",In stock.,7 Days Replacement,Bag with Tuner,Mahogany
5,Kadence,-,4.3 out of 5,"1,478 ratings",-,"Saturday, Dec 18",In stock.,7 Days Replacement,Mahagony Wood,Mahogany
6,Intern,-,3.9 out of 5,289 ratings,-,"Friday, Dec 17",In stock.,7 Days Replacement,Black,Wood
7,Juarez,-,4.2 out of 5,"4,406 ratings",-,"Sunday, Dec 19",In stock.,7 Days Replacement,Brown,-
8,Decdeal,-,-,-,-,Jan 1 - 4,In stock.,7 Days Replacement,Green,Acrylonitrile Butadiene Styrene
9,POOWE,"Guitar, Ukulele",-,-,-,-,,7 Days Replacement,-,Wood
10,HEALLILY,-,-,-,-,Dec 31 - Jan 3,In stock.,7 Days Replacement,Beige,-
11,Juarez,-,4.2 out of 5,963 ratings,-,"Sunday, Dec 19",In stock.,7 Days Replacement,Sapele,-
12,Juarez,-,4.1 out of 5,278 ratings,-,"Saturday, Dec 18",In stock.,7 Days Replacement,BLUE,Sapele
13,JUAREZ,-,4 out of 5,67 ratings,-,"Saturday, Dec 18",In stock.,7 Days Replacement,NATURAL,Sapele
14,Kadence,-,4.3 out of 5,"1,091 ratings",-,"Saturday, Dec 18",In stock.,7 Days Replacement,Acoustic,Spruce Wood
15,VAULT,-,4.1 out of 5,802 ratings,-,"Friday, Dec 17",In stock.,7 Days Replacement,Brown,-
16,Kadence,Ukulele,4.2 out of 5,270 ratings,-,"Saturday, Dec 18",In stock.,7 Days Replacement,Black,Wood
17,Kadence,Ukulele,4.3 out of 5,466 ratings,-,"Saturday, Dec 18",In stock.,7 Days Replacement,Cinnamon Brown,Wood
18,JUAREZ,-,3.9 out of 5,31 ratings,-,"Sunday, Dec 19",In stock.,7 Days Replacement,BLACK,Sapele Wood
19,Juarez,-,4.1 out of 5,71 ratings,-,"Sunday, Dec 19",In stock.,7 Days Replacement,Mahogany,Mahogany
20,Musoo,-,4.1 out of 5,287 ratings,-,"Monday, Dec 20",In stock.,7 Days Replacement,Brown,-
21,Musoo,Ukulele,-,-,-,"Monday, Dec 20",In stock.,7 Days Replacement,Brown,Mahogany
22,Flight,-,5 out of 5,5 ratings,-,"Saturday, Dec 18",Only 2 left in stock.,7 Days Replacement,Blue,Sapele
23,Flight,-,-,-,-,"Saturday, Dec 18",Only 1 left in stock.,7 Days Replacement,Surf,ABS plastic
24,Kadence,Ukulele,4 out of 5,74 ratings,-,"Saturday, Dec 18",In stock.,7 Days Replacement,White,Mahogany
25,Kadence,-,4.3 out of 5,208 ratings,-,"Saturday, Dec 18",In stock.,7 Days Replacement,Brown,Sapele
26,Juarez,-,3.5 out of 5,26 ratings,-,"Sunday, Dec 19",Only 1 left in stock.,7 Days Replacement,NATURAL,"Acrylonitrile Butadiene Styrene, Wood, Catalpa, Rosewood"
27,Kadence,-,4.2 out of 5,216 ratings,-,"Saturday, Dec 18",In stock.,7 Days Replacement,Black,Mahogany
