,Brand_name,mobile,color,Storage,Processor,Battery,Price,Product_url
0,Pixel 4a,"Google Pixel 4a (Just Black, 128 GB)  (6 GB RAM)",Just Black,6 GB RAM | 128 GB ROM,Qualcomm Snapdragon 730G Processor,3140 mAh Battery,"₹28,999",https://www.flipkart.com/google-pixel-4a-just-black-128-gb/p/itm023b9677aa45d?pid=MOBFUSBNAZGY7HQU&lid=LSTMOBFUSBNAZGY7HQUWHTF0C&marketplace=FLIPKART&q=pixel+4a&store=tyy%2F4io&srno=s_1_1&otracker=search&otracker1=search&fm=SEARCH&iid=b053fdef-6dc7-4ee8-8abd-e4e2e2f4e895.MOBFUSBNAZGY7HQU.SEARCH&ppt=hp&ppn=homepage&ssid=d8s001nd1c0000001639587891390&qH=614b192c242ae032
1,9 Power,"REDMI 9 Power (Fiery Red, 64 GB)  (4 GB RAM)",Fiery Red,4 GB RAM | 64 GB ROM,Qualcomm Snapdragon 662 Processor,6000 mAh Battery,"₹13,419",https://www.flipkart.com/redmi-9-power-fiery-red-64-gb/p/itmcd78b9bc04aa9?pid=MOBFYZF8XVSHPK5M&lid=LSTMOBFYZF8XVSHPK5MESH0CW&marketplace=FLIPKART&q=pixel+4a&store=tyy%2F4io&srno=s_1_2&otracker=search&otracker1=search&fm=SEARCH&iid=b053fdef-6dc7-4ee8-8abd-e4e2e2f4e895.MOBFYZF8XVSHPK5M.SEARCH&ppt=hp&ppn=homepage&ssid=d8s001nd1c0000001639587891390&qH=614b192c242ae032
2,9 Power,"REDMI 9 Power (Mighty Black, 64 GB)  (4 GB RAM)",Mighty Black,4 GB RAM | 64 GB ROM,Qualcomm Snapdragon 662 Processor,6000 mAh Battery,"₹13,195",https://www.flipkart.com/redmi-9-power-mighty-black-64-gb/p/itm481ab234a6553?pid=MOBFYZ94UWPWQRNF&lid=LSTMOBFYZ94UWPWQRNFEQLUFV&marketplace=FLIPKART&q=pixel+4a&store=tyy%2F4io&srno=s_1_3&otracker=search&otracker1=search&fm=SEARCH&iid=b053fdef-6dc7-4ee8-8abd-e4e2e2f4e895.MOBFYZ94UWPWQRNF.SEARCH&ppt=hp&ppn=homepage&ssid=d8s001nd1c0000001639587891390&qH=614b192c242ae032
3,K 19 CAr,I Kall K 19 CAr  (Gold),Gold,32 MB RAM | 32 MB/64 MB ROM,-,800 mAh Battery,"₹1,299",https://www.flipkart.com/kall-k-19-car/p/itmd71fd53ac92b8?pid=MOBFUTEWP8HUZFQZ&lid=LSTMOBFUTEWP8HUZFQZR7F0LN&marketplace=FLIPKART&q=pixel+4a&store=tyy%2F4io&srno=s_1_4&otracker=search&otracker1=search&fm=SEARCH&iid=b053fdef-6dc7-4ee8-8abd-e4e2e2f4e895.MOBFUTEWP8HUZFQZ.SEARCH&ppt=hp&ppn=homepage&ssid=d8s001nd1c0000001639587891390&qH=614b192c242ae032
4,Redmi 9,"Redmi 9 (Sky Blue, 64 GB)  (4 GB RAM)",Sky Blue,4 GB RAM | 64 GB ROM,MediaTek Helio G35 Processor,5000 mAh Battery,"₹10,498",https://www.flipkart.com/redmi-9-sky-blue-64-gb/p/itm4fb151383983b?pid=MOBFV5FPUS8UHG9H&lid=LSTMOBFV5FPUS8UHG9H3UEPLW&marketplace=FLIPKART&q=pixel+4a&store=tyy%2F4io&srno=s_1_5&otracker=search&otracker1=search&fm=SEARCH&iid=b053fdef-6dc7-4ee8-8abd-e4e2e2f4e895.MOBFV5FPUS8UHG9H.SEARCH&ppt=hp&ppn=homepage&ssid=d8s001nd1c0000001639587891390&qH=614b192c242ae032
5,Camon 17,"Tecno Camon 17 (Frost Silver, 128 GB)  (6 GB RAM)",Frost Silver,6 GB RAM | 128 GB ROM | Expandable Upto 512 GB,Helio G85 Processor,5000 mAh Battery,"₹14,930",https://www.flipkart.com/tecno-camon-17-frost-silver-128-gb/p/itm60b07aa2c3b00?pid=MOBG6ASFPK8XMVDW&lid=LSTMOBG6ASFPK8XMVDWU63V34&marketplace=FLIPKART&q=pixel+4a&store=tyy%2F4io&srno=s_1_6&otracker=search&otracker1=search&fm=SEARCH&iid=b053fdef-6dc7-4ee8-8abd-e4e2e2f4e895.MOBG6ASFPK8XMVDW.SEARCH&ppt=hp&ppn=homepage&ssid=d8s001nd1c0000001639587891390&qH=614b192c242ae032
6,Spark 7,"Tecno Spark 7 (Spruce Green, 32 GB)  (2 GB RAM)",Spruce Green,2 GB RAM | 32 GB ROM | Expandable Upto 256 GB,Helio A25 Processor,6000 mAh Battery,"₹8,088",https://www.flipkart.com/tecno-spark-7-spruce-green-32-gb/p/itmb5ba6405b2fec?pid=MOBG4KA4TZEJJJPS&lid=LSTMOBG4KA4TZEJJJPSBBHMUZ&marketplace=FLIPKART&q=pixel+4a&store=tyy%2F4io&srno=s_1_7&otracker=search&otracker1=search&fm=SEARCH&iid=b053fdef-6dc7-4ee8-8abd-e4e2e2f4e895.MOBG4KA4TZEJJJPS.SEARCH&ppt=hp&ppn=homepage&ssid=d8s001nd1c0000001639587891390&qH=614b192c242ae032
7,Spark 7,"Tecno Spark 7 (Magnet Black, 32 GB)  (2 GB RAM)",Magnet Black,2 GB RAM | 32 GB ROM | Expandable Upto 256 GB,Helio A25 Processor,6000 mAh Battery,"₹8,200",https://www.flipkart.com/tecno-spark-7-magnet-black-32-gb/p/itmb5ba6405b2fec?pid=MOBG6FN2JPZXMAYU&lid=LSTMOBG6FN2JPZXMAYUIF9BJT&marketplace=FLIPKART&q=pixel+4a&store=tyy%2F4io&srno=s_1_8&otracker=search&otracker1=search&fm=SEARCH&iid=b053fdef-6dc7-4ee8-8abd-e4e2e2f4e895.MOBG6FN2JPZXMAYU.SEARCH&ppt=hp&ppn=homepage&ssid=d8s001nd1c0000001639587891390&qH=614b192c242ae032
8,10 Prime,"REDMI 10 Prime (Astral White, 64 GB)  (4 GB RAM)",Astral White,4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,Helio G88 Processor,6000 mAh Battery,"₹13,264",https://www.flipkart.com/redmi-10-prime-astral-white-64-gb/p/itm9377b4c936baa?pid=MOBG6PFKNMNNKZVS&lid=LSTMOBG6PFKNMNNKZVSJPL971&marketplace=FLIPKART&q=pixel+4a&store=tyy%2F4io&srno=s_1_9&otracker=search&otracker1=search&fm=SEARCH&iid=b053fdef-6dc7-4ee8-8abd-e4e2e2f4e895.MOBG6PFKNMNNKZVS.SEARCH&ppt=hp&ppn=homepage&ssid=d8s001nd1c0000001639587891390&qH=614b192c242ae032
9,Y12s 2021,"vivo Y12s 2021 (Phantom Black, 32 GB)  (3 GB RAM)",Phantom Black,3 GB RAM | 32 GB ROM,-,5000 mAh Battery,"₹10,990",https://www.flipkart.com/vivo-y12s-2021-phantom-black-32-gb/p/itmbfa8bd4e6e7f3?pid=MOBG8YWYMCUZSCKZ&lid=LSTMOBG8YWYMCUZSCKZUAEPIJ&marketplace=FLIPKART&q=pixel+4a&store=tyy%2F4io&srno=s_1_10&otracker=search&otracker1=search&fm=SEARCH&iid=b053fdef-6dc7-4ee8-8abd-e4e2e2f4e895.MOBG8YWYMCUZSCKZ.SEARCH&ppt=hp&ppn=homepage&ssid=d8s001nd1c0000001639587891390&qH=614b192c242ae032
10,10 Prime,"REDMI 10 Prime (Astral White, 128 GB)  (6 GB RAM)",Astral White,6 GB RAM | 128 GB ROM | Expandable Upto 512 GB,Helio G88 Processor,6000 mAh Battery,"₹15,429",https://www.flipkart.com/redmi-10-prime-astral-white-128-gb/p/itm9377b4c936baa?pid=MOBG6RGJGTKTUVD9&lid=LSTMOBG6RGJGTKTUVD9OHAEGN&marketplace=FLIPKART&q=pixel+4a&store=tyy%2F4io&srno=s_1_11&otracker=search&otracker1=search&fm=SEARCH&iid=b053fdef-6dc7-4ee8-8abd-e4e2e2f4e895.MOBG6RGJGTKTUVD9.SEARCH&ppt=hp&ppn=homepage&ssid=d8s001nd1c0000001639587891390&qH=614b192c242ae032
